Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
194,Thursday 21st May 2020 15:25,https://sullygnome.com/channel/tubbo/stream/38196439600,214,191,227,112,29,1365,332,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
195,Wednesday 20th May 2020 17:36,https://sullygnome.com/channel/tubbo/stream/38178114848,518,201,527,288,32,3115,344,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
196,Tuesday 19th May 2020 17:46,https://sullygnome.com/channel/tubbo/stream/38158151552,148,186,211,56,22,890,278,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
197,Monday 18th May 2020 17:12,https://sullygnome.com/channel/tubbo/stream/38137548224,122,167,258,57,25,768,290,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Terraria|Terraria|https://static-cdn.jtvnw.net/ttv-boxart/Terraria-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
198,Sunday 17th May 2020 17:08,https://sullygnome.com/channel/tubbo/stream/38117870960,126,188,220,62,27,706,237,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
199,Saturday 16th May 2020 17:01,https://sullygnome.com/channel/tubbo/stream/38096796464,103,142,152,20,11,618,269,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
200,Friday 15th May 2020 16:45,https://sullygnome.com/channel/tubbo/stream/1601106577,195,188,218,69,19,1288,346,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
201,Thursday 14th May 2020 17:46,https://sullygnome.com/channel/tubbo/stream/38056629728,433,149,242,175,24,2036,277,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
202,Wednesday 13th May 2020 17:24,https://sullygnome.com/channel/tubbo/stream/38033217840,275,138,198,116,24,1753,330,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
203,Tuesday 12th May 2020 17:38,https://sullygnome.com/channel/tubbo/stream/38012107744,276,183,517,173,36,2285,452,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|South Park: The Fractured But Whole|South_Park_The_Fractured_But_Whole|https://static-cdn.jtvnw.net/ttv-boxart/./South%20Park:%20The%20Fractured%20But%20Whole-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
