Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
23,Wednesday 25th November 2020 20:02,https://sullygnome.com/channel/pokimane/stream/40684263278,102,56912,65247,2526,1443,199651,85558,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
24,Tuesday 24th November 2020 21:49,https://sullygnome.com/channel/pokimane/stream/40670424926,280,28392,35077,13409,2822,299744,57040,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
25,Saturday 21st November 2020 19:48,https://sullygnome.com/channel/pokimane/stream/40610861502,251,30024,36707,9192,2162,278085,60495,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
26,Saturday 21st November 2020 00:28,https://sullygnome.com/channel/pokimane/stream/40593186686,316,23967,30353,11536,2097,304831,52985,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
27,Friday 20th November 2020 15:52,https://sullygnome.com/channel/pokimane/stream/40585271566,292,24998,29292,10987,2197,289379,51637,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
28,Thursday 19th November 2020 15:55,https://sullygnome.com/channel/pokimane/stream/40567620574,244,27508,36375,10288,2420,290069,61106,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
29,Tuesday 17th November 2020 23:34,https://sullygnome.com/channel/pokimane/stream/40538432670,340,25682,39552,13499,2347,308328,50580,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
30,Tuesday 17th November 2020 00:51,https://sullygnome.com/channel/pokimane/stream/40521024702,173,12435,13929,4970,1656,149522,44090,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
31,Sunday 15th November 2020 01:18,https://sullygnome.com/channel/pokimane/stream/40490715678,206,17877,22980,6319,1805,184563,47184,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Fall Guys: Ultimate Knockout|Fall_Guys|https://static-cdn.jtvnw.net/ttv-boxart/./Fall%20Guys:%20Ultimate%20Knockout-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
32,Thursday 12th November 2020 00:36,https://sullygnome.com/channel/pokimane/stream/40443274014,203,36381,63574,13642,3897,312083,84250,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
