Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
42,Wednesday 4th September 2019 20:09,https://sullygnome.com/channel/wilbursoot/stream/35545300880,125,2515,3193,1634,726,8703,3578,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Music|Music|https://static-cdn.jtvnw.net/ttv-boxart/Music-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
43,Tuesday 3rd September 2019 19:10,https://sullygnome.com/channel/wilbursoot/stream/35533865792,94,1697,1932,791,452,4369,2496,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
44,Thursday 29th August 2019 19:29,https://sullygnome.com/channel/wilbursoot/stream/35475062752,75,1348,2337,545,363,3379,2252,GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
45,Monday 26th August 2019 23:59,https://sullygnome.com/channel/wilbursoot/stream/35443122768,75,1248,1790,462,369,2837,1329,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
46,Wednesday 21st August 2019 17:19,https://sullygnome.com/channel/wilbursoot/stream/35379319536,55,1924,3700,507,507,3873,2363,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
47,Monday 19th August 2019 19:54,https://sullygnome.com/channel/wilbursoot/stream/35357768784,155,1567,1854,1071,389,5375,1954,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
48,Thursday 15th August 2019 00:00,https://sullygnome.com/channel/wilbursoot/stream/35298813552,74,3647,7595,2736,1824,11082,4631,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
49,Monday 12th August 2019 20:01,https://sullygnome.com/channel/wilbursoot/stream/35270347152,149,1620,1803,1506,602,5712,1987,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
50,Friday 9th August 2019 23:02,https://sullygnome.com/channel/wilbursoot/stream/35233008624,117,1098,1188,607,303,2684,1342,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
51,Thursday 8th August 2019 22:54,https://sullygnome.com/channel/wilbursoot/stream/35220031872,95,2044,2774,1325,757,5586,2630,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
