"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"31","Deep Rock Galactic|Deep_Rock_Galactic|https://static-cdn.jtvnw.net/ttv-boxart/Deep%20Rock%20Galactic-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","150","924315","6162","6688","383","153.2","24181","9672.4"
"32","Sign of Silence|Sign_of_Silence|https://static-cdn.jtvnw.net/ttv-boxart/Sign%20of%20Silence-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","135","2276190","16860","17739","2011","893.777777","59003","26223.555555"
"33","Marvel's Avengers|The_Avengers_Project|https://static-cdn.jtvnw.net/ttv-boxart/Marvel%27s%20Avengers-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","105","1390605","13243","24797","1225","700","202672","115812.571428"
"34","Poly Bridge 2|Poly_Bridge_2|https://static-cdn.jtvnw.net/ttv-boxart/Poly%20Bridge%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","90","405030","4500","4930","170","113.333333","8007","5338"
"35","Pacify|Pacify|https://static-cdn.jtvnw.net/ttv-boxart/Pacify-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","90","2968485","32983","34876","3673","2448.666666","56497","37664.666666"
"36","Hyper Scape|77f7b7c9-8033-4d23-9a8c-6f82a16dd354|https://static-cdn.jtvnw.net/ttv-boxart/Hyper%20Scape-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","90","375255","4169","4732","389","259.333333","12044","8029.333333"
"37","The Elder Scrolls V: Skyrim|The_Elder_Scrolls_V_Skyrim|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Elder%20Scrolls%20V:%20Skyrim-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","75","772800","10304","10557","739","591.2","21906","17524.8"
"38","Peekaboo|Peekaboo|https://static-cdn.jtvnw.net/ttv-boxart/Peekaboo-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","75","703185","9375","10429","208","166.4","17104","13683.2"
"39","skribbl.io|skribbl.io|https://static-cdn.jtvnw.net/ttv-boxart/skribbl.io-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","75","846435","11939","15564","306","244.8","18385","14708"
"40","SpyParty|SpyParty|https://static-cdn.jtvnw.net/ttv-boxart/SpyParty-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","75","988650","13182","14945","755","604","25491","20392.8"
"41","Overcooked! 2|Overcooked_2|https://static-cdn.jtvnw.net/ttv-boxart/Overcooked%21%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","60","1029480","17158","17478","538","538","24828","24828"
"42","Dead by Daylight|Dead_by_Daylight|https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","60","53220","849","935","41","41","3749","3749"
"43","Trine 2|Trine_2|https://static-cdn.jtvnw.net/ttv-boxart/Trine%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","45","1286970","28599","30973","849","1132","33092","44122.666666"
"44","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","30","76440","2548","2563","50","100","1966","3932"
"45","SpeedRunners|SpeedRunners|https://static-cdn.jtvnw.net/ttv-boxart/SpeedRunners-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","239925","15995","15995","0","0","18474","73896"
