"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"123","Sunday 14th April 2019 21:47","https://sullygnome.com/channel/sykkuno/stream/33694544688","342","109","281","30","5","946","155","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"124","Thursday 11th April 2019 23:04","https://sullygnome.com/channel/sykkuno/stream/33644269120","266","76","93","10","2","350","82","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"125","Saturday 6th April 2019 00:13","https://sullygnome.com/channel/sykkuno/stream/33553971424","226","120","458","255","63","2127","531","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"126","Wednesday 3rd April 2019 23:00","https://sullygnome.com/channel/sykkuno/stream/33523907744","314","71","97","7","1","442","82","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"127","Sunday 31st March 2019 20:50","https://sullygnome.com/channel/sykkuno/stream/33478625536","264","59","70","1","0","333","70","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"128","Saturday 23rd March 2019 18:10","https://sullygnome.com/channel/sykkuno/stream/33342402480","259","64","77","5","1","331","67","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"129","Saturday 16th March 2019 20:17","https://sullygnome.com/channel/sykkuno/stream/33231573056","192","74","89","2","0","259","79","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"130","Thursday 7th March 2019 22:49","https://sullygnome.com/channel/sykkuno/stream/33084054560","265","61","77","4","0","318","65","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"131","Friday 1st March 2019 21:03","https://sullygnome.com/channel/sykkuno/stream/32983592528","326","63","77","1","0","379","65","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"132","Friday 22nd February 2019 21:12","https://sullygnome.com/channel/sykkuno/stream/32870108272","317","70","90","5","0","489","87","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"133","Friday 15th February 2019 00:14","https://sullygnome.com/channel/sykkuno/stream/32736168784","345","67","82","5","0","444","71","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"134","Saturday 9th February 2019 23:03","https://sullygnome.com/channel/sykkuno/stream/32648945056","236","66","80","5","1","296","68","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Apex Legends|apex_Legends|https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"135","Sunday 3rd February 2019 00:15","https://sullygnome.com/channel/sykkuno/stream/32526904272","254","65","79","4","0","310","67","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"136","Tuesday 29th January 2019 21:51","https://sullygnome.com/channel/sykkuno/stream/32451058880","233","68","82","5","1","304","70","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"137","Friday 25th January 2019 20:06","https://sullygnome.com/channel/sykkuno/stream/32373126592","203","72","85","8","2","335","95","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"138","Saturday 19th January 2019 20:27","https://sullygnome.com/channel/sykkuno/stream/32268344768","182","78","94","0","0","334","97","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"139","Monday 14th January 2019 21:57","https://sullygnome.com/channel/sykkuno/stream/32184782112","212","99","130","26","6","497","118","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"140","Tuesday 8th January 2019 22:17","https://sullygnome.com/channel/sykkuno/stream/32082936416","222","63","72","6","1","254","67","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
