"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 31st December 2019 22:23","https://sullygnome.com/channel/sykkuno/stream/36544611456","336","1127","1272","604","105","10512","1701","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Tuesday 31st December 2019 00:24","https://sullygnome.com/channel/sykkuno/stream/36536599728","575","1664","2420","674","69","15492","1570","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Sunday 29th December 2019 23:49","https://sullygnome.com/channel/sykkuno/stream/36527606896","475","2327","14232","1383","172","18307","2205","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Sunday 29th December 2019 00:40","https://sullygnome.com/channel/sykkuno/stream/36519565648","364","1016","1171","293","48","6563","1035","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Friday 27th December 2019 03:40","https://sullygnome.com/channel/sykkuno/stream/36504530928","364","1345","2012","440","70","8457","1300","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Thursday 26th December 2019 02:49","https://sullygnome.com/channel/sykkuno/stream/36496136304","400","1080","1264","370","54","6735","997","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Tuesday 24th December 2019 02:21","https://sullygnome.com/channel/sykkuno/stream/36482687200","458","1691","2536","689","88","12921","1667","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Monday 23rd December 2019 00:41","https://sullygnome.com/channel/sykkuno/stream/36474429232","573","1349","1986","637","65","11761","1172","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Saturday 21st December 2019 21:41","https://sullygnome.com/channel/sykkuno/stream/36465903552","318","1312","2406","575","104","7943","1355","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Friday 20th December 2019 00:57","https://sullygnome.com/channel/sykkuno/stream/36452766336","512","1811","3574","663","75","12113","1352","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Thursday 19th December 2019 01:48","https://sullygnome.com/channel/sykkuno/stream/36446648832","491","1409","1820","563","66","10903","1232","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Wednesday 18th December 2019 02:15","https://sullygnome.com/channel/sykkuno/stream/36440052832","344","1173","1470","320","55","6690","1118","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Tuesday 17th December 2019 02:39","https://sullygnome.com/channel/sykkuno/stream/36433484480","380","1991","4606","935","143","15989","2413","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Monday 16th December 2019 03:36","https://sullygnome.com/channel/sykkuno/stream/36427426064","308","1189","1564","346","65","7261","1327","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
