"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 31st December 2020 21:53","https://sullygnome.com/channel/tubbo/stream/40564080444","261","34505","46549","13919","3093","186917","39420","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Wednesday 30th December 2020 19:32","https://sullygnome.com/channel/tubbo/stream/40549513084","72","78266","80782","4447","3557","115343","59330","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Tuesday 29th December 2020 18:16","https://sullygnome.com/channel/tubbo/stream/40534441644","118","64926","72995","7268","3634","170584","72175","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Monday 28th December 2020 16:57","https://sullygnome.com/channel/tubbo/stream/40519307676","197","66682","187610","25433","7266","437517","112105","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Who's Your Daddy|Whos_Your_Daddy|https://static-cdn.jtvnw.net/ttv-boxart/Who%27s%20Your%20Daddy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Sunday 27th December 2020 18:43","https://sullygnome.com/channel/tubbo/stream/40507450604","136","43334","56711","7383","2953","122923","38247","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Saturday 26th December 2020 18:58","https://sullygnome.com/channel/tubbo/stream/40493752188","121","59109","74522","5982","2991","125249","45134","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Friday 25th December 2020 18:34","https://sullygnome.com/channel/tubbo/stream/40480917932","70","46078","48413","3979","3183","77674","38062","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Thursday 24th December 2020 18:29","https://sullygnome.com/channel/tubbo/stream/40470793580","180","32889","38228","6439","2146","132169","36375","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Wednesday 23rd December 2020 19:02","https://sullygnome.com/channel/tubbo/stream/40459891052","117","84977","95237","7532","3766","153893","61939","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Tuesday 22nd December 2020 18:41","https://sullygnome.com/channel/tubbo/stream/40447156892","123","50843","66400","6754","3001","131337","43353","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
