"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th February 2021 21:15","https://sullygnome.com/channel/tubbo/stream/41242661612","74","44896","69658","3559","2847","175408","140326","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Saturday 27th February 2021 18:06","https://sullygnome.com/channel/tubbo/stream/41240378236","173","72693","78602","8962","2987","149666","94905","Monopoly Plus|Monopoly_Plus|https://static-cdn.jtvnw.net/ttv-boxart/Monopoly%20Plus-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Thursday 25th February 2021 20:48","https://sullygnome.com/channel/tubbo/stream/40755833725","131","73120","113489","6349","2821","224446","82548","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Wednesday 24th February 2021 20:55","https://sullygnome.com/channel/tubbo/stream/40741276685","109","85263","101199","7566","3783","166402","83201","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Tuesday 23rd February 2021 22:02","https://sullygnome.com/channel/tubbo/stream/41203261628","147","73842","118299","7877","3150","216295","79595","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Monday 22nd February 2021 18:58","https://sullygnome.com/channel/tubbo/stream/41191729068","91","108259","116271","4771","3180","140233","93488","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Sunday 21st February 2021 19:12","https://sullygnome.com/channel/tubbo/stream/40696674013","122","57902","85547","5513","2756","117843","58921","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Saturday 20th February 2021 22:00","https://sullygnome.com/channel/tubbo/stream/41173412876","119","82841","93269","4684","2342","170202","69592","Gartic Phone|Gartic_Phone|https://static-cdn.jtvnw.net/ttv-boxart/Gartic%20Phone-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Friday 19th February 2021 21:02","https://sullygnome.com/channel/tubbo/stream/41160626204","147","56357","66620","7143","2857","182760","73104","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Thursday 18th February 2021 20:17","https://sullygnome.com/channel/tubbo/stream/40650210797","237","64891","89775","11954","2988","306777","69261","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Wednesday 17th February 2021 20:43","https://sullygnome.com/channel/tubbo/stream/40635824989","136","109317","129052","7589","3372","249670","87703","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Tuesday 16th February 2021 19:59","https://sullygnome.com/channel/tubbo/stream/41129031452","60","142215","215651","10832","10832","359064","172359","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Tuesday 16th February 2021 19:45","https://sullygnome.com/channel/tubbo/stream/41128812924","0","18040","18040","0","0","80225","0","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Monday 15th February 2021 21:37","https://sullygnome.com/channel/tubbo/stream/41119907548","112","46159","56570","5413","2706","289315","86653","Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Sunday 14th February 2021 19:25","https://sullygnome.com/channel/tubbo/stream/41108114412","109","72476","85428","5402","2701","168591","68366","Keep Talking and Nobody Explodes|Keep_Talking_and_Nobody_Explodes|https://static-cdn.jtvnw.net/ttv-boxart/Keep%20Talking%20and%20Nobody%20Explodes-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Saturday 13th February 2021 19:50","https://sullygnome.com/channel/tubbo/stream/40576063069","114","52920","56244","6715","3357","146146","50051","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Friday 12th February 2021 21:58","https://sullygnome.com/channel/tubbo/stream/41086183500","241","35702","55363","10178","2544","206581","48815","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Thursday 11th February 2021 20:55","https://sullygnome.com/channel/tubbo/stream/40546730141","169","42032","59529","11363","3787","246749","82249","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"19","Wednesday 10th February 2021 22:50","https://sullygnome.com/channel/tubbo/stream/41066129212","189","45954","60281","7545","2321","114719","30402","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Tuesday 9th February 2021 20:01","https://sullygnome.com/channel/tubbo/stream/41054206012","88","109813","121604","4946","3297","290218","85876","Five Nights at Freddy's|Five_Nights_at_Freddys|https://static-cdn.jtvnw.net/ttv-boxart/Five%20Nights%20at%20Freddy%27s-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Monday 8th February 2021 19:28","https://sullygnome.com/channel/tubbo/stream/41042369116","106","131805","140410","5570","3182","170358","97347","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
