"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"101","Sunday 25th August 2019 13:42","https://sullygnome.com/channel/tubbo/stream/35425151008","137","7","17","4","1","43","12","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"102","Saturday 24th August 2019 13:54","https://sullygnome.com/channel/tubbo/stream/35412915392","80","5","9","4","2","29","18","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"103","Friday 23rd August 2019 15:42","https://sullygnome.com/channel/tubbo/stream/35401502576","122","7","15","2","1","44","19","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"104","Wednesday 21st August 2019 15:37","https://sullygnome.com/channel/tubbo/stream/35378302848","142","11","36","17","6","61","22","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"105","Tuesday 20th August 2019 14:04","https://sullygnome.com/channel/tubbo/stream/35365893312","115","10","18","7","3","41","14","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"106","Monday 19th August 2019 11:51","https://sullygnome.com/channel/tubbo/stream/35353328576","68","3","4","2","1","13","9","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"107","Sunday 18th August 2019 14:43","https://sullygnome.com/channel/tubbo/stream/35342815984","211","10","14","3","0","43","12","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"108","Sunday 4th August 2019 11:30","https://sullygnome.com/channel/tubbo/stream/35161964960","0","3","3","0","0","7","0","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"109","Thursday 1st August 2019 14:30","https://sullygnome.com/channel/tubbo/stream/35124784720","120","6","10","5","2","38","15","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"110","Wednesday 31st July 2019 15:38","https://sullygnome.com/channel/tubbo/stream/35112107776","156","9","13","0","0","24","8","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"111","Tuesday 30th July 2019 14:15","https://sullygnome.com/channel/tubbo/stream/35098041664","165","8","12","9","3","42","12","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"112","Monday 29th July 2019 13:02","https://sullygnome.com/channel/tubbo/stream/35085008528","12","4","9","0","0","15","16","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"113","Sunday 28th July 2019 13:52","https://sullygnome.com/channel/tubbo/stream/35073729520","142","12","17","7","2","62","18","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"114","Saturday 27th July 2019 14:07","https://sullygnome.com/channel/tubbo/stream/35062061952","157","12","16","11","4","71","22","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"115","Friday 26th July 2019 15:07","https://sullygnome.com/channel/tubbo/stream/35050612416","172","13","16","13","4","71","19","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"116","Thursday 25th July 2019 17:45","https://sullygnome.com/channel/tubbo/stream/35039637104","60","9","12","1","0","0","11","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"117","Wednesday 24th July 2019 12:29","https://sullygnome.com/channel/tubbo/stream/35025102752","105","7","11","3","1","34","13","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"118","Tuesday 23rd July 2019 14:47","https://sullygnome.com/channel/tubbo/stream/35013883744","222","9","13","14","3","68","17","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"119","Sunday 21st July 2019 15:32","https://sullygnome.com/channel/tubbo/stream/34990055248","132","4","7","1","0","29","10","The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
