"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"301","Wednesday 15th January 2020 19:24","https://sullygnome.com/channel/tubbo/stream/478007761","80","34","37","10","8","98","54","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"302","Tuesday 14th January 2020 19:02","https://sullygnome.com/channel/tubbo/stream/472532593","87","35","39","21","14","119","79","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"303","Sunday 12th January 2020 19:24","https://sullygnome.com/channel/tubbo/stream/461957681","170","29","49","34","11","278","92","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"304","Saturday 11th January 2020 17:00","https://sullygnome.com/channel/tubbo/stream/453660817","494","52","273","122","14","847","99","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"305","Friday 10th January 2020 19:24","https://sullygnome.com/channel/tubbo/stream/448088065","200","19","30","13","3","183","50","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"306","Wednesday 8th January 2020 19:24","https://sullygnome.com/channel/tubbo/stream/437305409","50","16","21","4","4","57","38","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"307","Tuesday 7th January 2020 18:50","https://sullygnome.com/channel/tubbo/stream/431678465","54","22","26","11","11","66","42","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"308","Sunday 5th January 2020 13:51","https://sullygnome.com/channel/tubbo/stream/418210225","128","25","34","5","2","193","81","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
