"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 28th December 2020 17:43","https://sullygnome.com/channel/tommyinnit/stream/40520055756","91","126464","141644","9076","6050","278791","172598","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Sunday 27th December 2020 21:45","https://sullygnome.com/channel/tommyinnit/stream/40510541692","74","186111","196574","7946","6356","261614","167624","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Friday 25th December 2020 20:07","https://sullygnome.com/channel/tommyinnit/stream/40482296220","127","146246","157253","12645","5620","275817","108566","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Wednesday 23rd December 2020 21:40","https://sullygnome.com/channel/tommyinnit/stream/40462314284","79","155726","193622","8180","5453","189848","93681","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Saturday 19th December 2020 21:23","https://sullygnome.com/channel/tommyinnit/stream/40411934860","81","161637","188726","6530","4353","219862","122590","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Friday 18th December 2020 20:59","https://sullygnome.com/channel/tommyinnit/stream/40398315340","90","186890","198175","6873","4582","134809","89872","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Thursday 17th December 2020 19:30","https://sullygnome.com/channel/tommyinnit/stream/40384919340","74","198829","215062","7694","6155","192090","72448","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Wednesday 16th December 2020 21:02","https://sullygnome.com/channel/tommyinnit/stream/40375364732","87","232238","248865","9117","6078","331177","178244","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Tuesday 15th December 2020 20:48","https://sullygnome.com/channel/tommyinnit/stream/40364812620","86","271883","288028","8699","5799","319592","153741","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Monday 14th December 2020 20:25","https://sullygnome.com/channel/tommyinnit/stream/40354437292","94","253811","305847","10291","5880","368059","126754","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Sunday 13th December 2020 20:42","https://sullygnome.com/channel/tommyinnit/stream/40344463292","77","166079","199866","6744","4496","191148","73972","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Saturday 12th December 2020 19:54","https://sullygnome.com/channel/tommyinnit/stream/40330306188","170","142857","157200","15226","5075","490749","140855","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Friday 11th December 2020 20:34","https://sullygnome.com/channel/tommyinnit/stream/40317609372","85","177474","185454","5355","4284","159237","64859","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Thursday 10th December 2020 21:57","https://sullygnome.com/channel/tommyinnit/stream/40306873868","62","185255","222610","6883","5506","169685","135748","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Wednesday 9th December 2020 20:27","https://sullygnome.com/channel/tommyinnit/stream/40293801516","77","213770","262996","9811","6540","266624","128174","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Tuesday 8th December 2020 20:00","https://sullygnome.com/channel/tommyinnit/stream/40282826892","90","202244","236611","10150","5800","236001","134857","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Monday 7th December 2020 20:26","https://sullygnome.com/channel/tommyinnit/stream/40272042428","93","188114","223369","10011","5720","252770","107693","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Sunday 6th December 2020 21:07","https://sullygnome.com/channel/tommyinnit/stream/40261618444","97","161510","185547","8623","4927","246184","111988","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"19","Saturday 5th December 2020 19:54","https://sullygnome.com/channel/tommyinnit/stream/40246935852","80","153983","178111","7260","4840","136629","91086","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Friday 4th December 2020 20:58","https://sullygnome.com/channel/tommyinnit/stream/40234641516","91","187653","219698","8611","5740","258546","141192","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Thursday 3rd December 2020 20:42","https://sullygnome.com/channel/tommyinnit/stream/40223024124","92","93203","125127","8348","4770","177075","74994","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"22","Wednesday 2nd December 2020 19:56","https://sullygnome.com/channel/tommyinnit/stream/40212082652","78","107505","141121","6299","4199","189924","82444","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"23","Tuesday 1st December 2020 20:11","https://sullygnome.com/channel/tommyinnit/stream/40200286172","93","68870","84826","6459","3690","176201","75803","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"24","Sunday 29th November 2020 19:41","https://sullygnome.com/channel/tommyinnit/stream/40178496012","63","81153","107734","5392","4313","157392","79843","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"25","Saturday 28th November 2020 19:46","https://sullygnome.com/channel/tommyinnit/stream/40165009788","73","86456","90613","3983","3186","100837","47652","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"26","Thursday 26th November 2020 20:17","https://sullygnome.com/channel/tommyinnit/stream/40140633420","102","106626","118356","5177","2958","165502","78494","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"27","Tuesday 24th November 2020 19:52","https://sullygnome.com/channel/tommyinnit/stream/40119172972","127","76710","95519","7878","3501","191153","60577","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"28","Monday 23rd November 2020 19:54","https://sullygnome.com/channel/tommyinnit/stream/40108205436","80","76437","99677","4979","3319","162373","74030","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"29","Sunday 22nd November 2020 19:43","https://sullygnome.com/channel/tommyinnit/stream/40097398700","76","75079","75079","3323","2658","109602","62235","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"30","Friday 20th November 2020 20:23","https://sullygnome.com/channel/tommyinnit/stream/40067913804","81","86649","92404","4538","3025","175571","83518","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"31","Thursday 19th November 2020 20:36","https://sullygnome.com/channel/tommyinnit/stream/40053779084","83","97741","108888","4439","2959","116209","77472","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"32","Wednesday 18th November 2020 21:21","https://sullygnome.com/channel/tommyinnit/stream/40041029596","83","78384","88540","3933","2622","128287","64642","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"33","Tuesday 17th November 2020 19:26","https://sullygnome.com/channel/tommyinnit/stream/40025723308","108","90988","114790","7185","3592","213102","82625","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"34","Monday 16th November 2020 20:10","https://sullygnome.com/channel/tommyinnit/stream/40013624668","94","207785","256015","10472","5984","446545","167081","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"35","Sunday 15th November 2020 20:15","https://sullygnome.com/channel/tommyinnit/stream/40003569180","104","114897","137726","8456","4832","196333","77197","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"36","Saturday 14th November 2020 19:37","https://sullygnome.com/channel/tommyinnit/stream/39989225500","187","99218","109231","12265","3773","358978","99285","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"37","Thursday 12th November 2020 19:47","https://sullygnome.com/channel/tommyinnit/stream/39964228588","87","78142","83978","4243","2828","130187","66244","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
