"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"101","Saturday 15th August 2020 18:31","https://sullygnome.com/channel/tommyinnit/stream/338729858","208","16062","23393","5517","1576","95742","23914","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"102","Friday 14th August 2020 18:17","https://sullygnome.com/channel/tommyinnit/stream/329534530","102","27258","45551","5199","2970","58269","29928","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"103","Wednesday 12th August 2020 15:11","https://sullygnome.com/channel/tommyinnit/stream/309476994","48","17693","23142","1235","1235","25937","10913","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"104","Tuesday 11th August 2020 18:14","https://sullygnome.com/channel/tommyinnit/stream/302486162","135","15892","17141","2775","1233","36474","14513","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"105","Monday 10th August 2020 18:45","https://sullygnome.com/channel/tommyinnit/stream/293870210","104","13830","16341","2207","1261","31360","14795","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"106","Sunday 9th August 2020 18:55","https://sullygnome.com/channel/tommyinnit/stream/285190706","124","14761","20242","2511","1116","27700","9036","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"107","Saturday 8th August 2020 18:15","https://sullygnome.com/channel/tommyinnit/stream/275928626","149","10873","12879","2107","842","28913","9682","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"108","Friday 7th August 2020 18:40","https://sullygnome.com/channel/tommyinnit/stream/267646882","109","12468","15885","2213","1106","37475","16044","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"109","Thursday 6th August 2020 19:03","https://sullygnome.com/channel/tommyinnit/stream/259050482","101","14247","16526","1525","871","23537","13449","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"110","Wednesday 5th August 2020 17:46","https://sullygnome.com/channel/tommyinnit/stream/248914482","118","13653","14523","1500","750","28649","11197","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"111","Tuesday 4th August 2020 17:51","https://sullygnome.com/channel/tommyinnit/stream/239453954","128","14475","16172","1866","829","28508","12670","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"112","Monday 3rd August 2020 17:32","https://sullygnome.com/channel/tommyinnit/stream/229569058","162","14290","15110","2757","1002","34953","10435","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"113","Sunday 2nd August 2020 17:44","https://sullygnome.com/channel/tommyinnit/stream/220708274","150","20507","27822","3342","1336","50559","17808","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"114","Saturday 1st August 2020 18:15","https://sullygnome.com/channel/tommyinnit/stream/212052882","134","13804","29373","5058","2248","53442","14042","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"115","Friday 31st July 2020 17:50","https://sullygnome.com/channel/tommyinnit/stream/203010930","159","13272","15081","2044","743","28880","10501","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
