"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"241","Friday 21st February 2020 19:45","https://sullygnome.com/channel/tommyinnit/stream/689705089","59","406","430","23","23","573","277","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"242","Thursday 20th February 2020 20:37","https://sullygnome.com/channel/tommyinnit/stream/683391649","157","516","565","786","285","1697","507","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"243","Wednesday 19th February 2020 21:18","https://sullygnome.com/channel/tommyinnit/stream/677738337","131","362","415","13345","5931","1387","541","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"244","Tuesday 18th February 2020 20:24","https://sullygnome.com/channel/tommyinnit/stream/671861681","170","404","592","76","25","1615","477","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"245","Monday 17th February 2020 21:00","https://sullygnome.com/channel/tommyinnit/stream/666548897","150","368","443","111","40","1525","554","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"246","Sunday 16th February 2020 20:46","https://sullygnome.com/channel/tommyinnit/stream/661024785","148","580","690","120","48","2004","746","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"247","Saturday 15th February 2020 20:20","https://sullygnome.com/channel/tommyinnit/stream/654067537","159","535","589","132","48","2145","685","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"248","Friday 14th February 2020 19:24","https://sullygnome.com/channel/tommyinnit/stream/647214273","155","400","512","83","30","1793","595","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|UNO|Uno|https://static-cdn.jtvnw.net/ttv-boxart/UNO-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"249","Monday 10th February 2020 19:19","https://sullygnome.com/channel/tommyinnit/stream/626143105","70","375","472","43","34","696","472","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"250","Sunday 9th February 2020 20:00","https://sullygnome.com/channel/tommyinnit/stream/621301937","149","605","679","121","48","1895","758","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"251","Saturday 8th February 2020 19:02","https://sullygnome.com/channel/tommyinnit/stream/614063393","237","514","684","188","47","3411","831","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
