"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 31st December 2019 19:25","https://sullygnome.com/channel/tommyinnit/stream/390487617","184","780","958","263","87","3521","1024","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Monday 30th December 2019 19:55","https://sullygnome.com/channel/tommyinnit/stream/385519633","139","560","705","200","80","2347","791","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Sunday 29th December 2019 21:15","https://sullygnome.com/channel/tommyinnit/stream/380435617","75","451","517","135","90","1200","800","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Saturday 28th December 2019 19:56","https://sullygnome.com/channel/tommyinnit/stream/374143361","138","473","556","169","75","1830","757","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Thursday 26th December 2019 18:56","https://sullygnome.com/channel/tommyinnit/stream/362853761","123","353","406","148","65","1712","638","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Tuesday 24th December 2019 22:07","https://sullygnome.com/channel/tommyinnit/stream/354497873","52","300","335","54","54","684","468","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Saturday 21st December 2019 20:19","https://sullygnome.com/channel/tommyinnit/stream/339432625","100","315","335","78","44","1177","589","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Friday 20th December 2019 21:25","https://sullygnome.com/channel/tommyinnit/stream/334503969","94","286","338","107","61","1156","552","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Wednesday 18th December 2019 17:47","https://sullygnome.com/channel/tommyinnit/stream/324252113","117","487","545","127","63","1561","780","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Tuesday 17th December 2019 19:54","https://sullygnome.com/channel/tommyinnit/stream/320819617","50","353","372","40","53","566","416","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Tuesday 17th December 2019 19:45","https://sullygnome.com/channel/tommyinnit/stream/320749585","0","134","134","0","0","588","0","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Sunday 15th December 2019 18:37","https://sullygnome.com/channel/tommyinnit/stream/312057617","97","438","560","118","67","1455","831","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Saturday 14th December 2019 19:42","https://sullygnome.com/channel/tommyinnit/stream/307278801","167","393","447","175","63","2265","729","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Friday 13th December 2019 21:30","https://sullygnome.com/channel/tommyinnit/stream/302440177","90","487","883","125","71","1405","802","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Tuesday 10th December 2019 19:36","https://sullygnome.com/channel/tommyinnit/stream/289054545","53","216","243","26","26","497","258","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Sunday 8th December 2019 18:39","https://sullygnome.com/channel/tommyinnit/stream/280543665","125","467","539","205","91","2283","889","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Saturday 7th December 2019 20:00","https://sullygnome.com/channel/tommyinnit/stream/275800641","209","844","1383","501","154","6734","1830","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Friday 6th December 2019 21:56","https://sullygnome.com/channel/tommyinnit/stream/271352225","63","198","235","53","42","648","319","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"19","Thursday 5th December 2019 16:36","https://sullygnome.com/channel/tommyinnit/stream/264955329","83","201","227","34","22","729","349","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Tuesday 3rd December 2019 16:29","https://sullygnome.com/channel/tommyinnit/stream/256564049","105","201","218","69","39","781","384","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Monday 2nd December 2019 18:38","https://sullygnome.com/channel/tommyinnit/stream/253300049","81","255","279","59","47","866","692","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"22","Sunday 1st December 2019 19:46","https://sullygnome.com/channel/tommyinnit/stream/249802161","58","404","466","87","87","831","831","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"23","Saturday 30th November 2019 17:31","https://sullygnome.com/channel/tommyinnit/stream/243699889","253","370","484","366","86","2973","655","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"24","Friday 29th November 2019 17:43","https://sullygnome.com/channel/tommyinnit/stream/238672001","91","162","218","56","32","1467","361","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"25","Thursday 28th November 2019 18:19","https://sullygnome.com/channel/tommyinnit/stream/234824193","115","314","341","138","69","1483","660","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"26","Wednesday 27th November 2019 17:08","https://sullygnome.com/channel/tommyinnit/stream/230281953","81","302","359","102","68","1006","489","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"27","Tuesday 26th November 2019 19:01","https://sullygnome.com/channel/tommyinnit/stream/226692241","73","255","286","63","50","818","486","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"28","Monday 25th November 2019 16:40","https://sullygnome.com/channel/tommyinnit/stream/221496337","229","319","392","274","73","2126","518","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"29","Sunday 24th November 2019 14:51","https://sullygnome.com/channel/tommyinnit/stream/216584097","98","326","406","164","93","1361","587","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"30","Saturday 23rd November 2019 19:49","https://sullygnome.com/channel/tommyinnit/stream/213013809","251","275","583","338","79","2504","521","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"31","Friday 22nd November 2019 21:00","https://sullygnome.com/channel/tommyinnit/stream/208018657","194","218","290","151","46","2116","553","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"32","Monday 18th November 2019 19:05","https://sullygnome.com/channel/tommyinnit/stream/189551217","54","129","137","24","24","338","338","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"33","Sunday 17th November 2019 17:06","https://sullygnome.com/channel/tommyinnit/stream/184310177","68","256","324","51","40","817","489","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"34","Saturday 16th November 2019 17:33","https://sullygnome.com/channel/tommyinnit/stream/178630193","86","248","293","45","30","934","505","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"35","Tuesday 12th November 2019 19:23","https://sullygnome.com/channel/tommyinnit/stream/159967073","51","146","153","12","16","234","160","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"36","Sunday 10th November 2019 16:36","https://sullygnome.com/channel/tommyinnit/stream/150809025","158","163","189","92","33","407","328","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"37","Saturday 9th November 2019 20:55","https://sullygnome.com/channel/tommyinnit/stream/147339009","79","175","188","49","32","703","366","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"38","Friday 8th November 2019 20:02","https://sullygnome.com/channel/tommyinnit/stream/142041041","132","180","225","61","27","721","276","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"39","Wednesday 6th November 2019 20:15","https://sullygnome.com/channel/tommyinnit/stream/36159280432","29","85","103","5","10","171","342","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"40","Wednesday 6th November 2019 18:03","https://sullygnome.com/channel/tommyinnit/stream/36158536704","41","162","182","16","21","324","228","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"41","Tuesday 5th November 2019 18:47","https://sullygnome.com/channel/tommyinnit/stream/36151432400","42","70","96","21","21","226","118","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"42","Monday 4th November 2019 20:00","https://sullygnome.com/channel/tommyinnit/stream/36144676144","44","180","205","22","29","309","229","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"43","Saturday 2nd November 2019 16:45","https://sullygnome.com/channel/tommyinnit/stream/36127544160","60","206","236","38","30","419","335","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
