"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 31st January 2021 23:01","https://sullygnome.com/channel/ranboolive/stream/41537026238","148","76551","92315","6893","2757","132889","43474","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Five Nights at Freddy's: Sister Location|Five_Nights_at_Freddys_Sister_Location|https://static-cdn.jtvnw.net/ttv-boxart/./Five%20Nights%20at%20Freddy%27s:%20Sister%20Location-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Slender: The Arrival|Slender_The_Arrival|https://static-cdn.jtvnw.net/ttv-boxart/./Slender:%20The%20Arrival-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Sunday 31st January 2021 01:48","https://sullygnome.com/channel/ranboolive/stream/41525171118","191","48495","63536","9072","2791","138496","42614","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Saturday 30th January 2021 21:00","https://sullygnome.com/channel/ranboolive/stream/41521490766","29","134170","153824","2041","4082","94699","0","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Saturday 30th January 2021 00:02","https://sullygnome.com/channel/ranboolive/stream/41509285694","132","51783","55153","6220","2764","116808","43195","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Friday 29th January 2021 04:57","https://sullygnome.com/channel/ranboolive/stream/41500766062","167","45836","53113","5845","2125","87533","28609","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Thursday 28th January 2021 00:00","https://sullygnome.com/channel/ranboolive/stream/41484117214","224","40879","48710","5707","1521","113437","25956","Portal 2|Portal_2|https://static-cdn.jtvnw.net/ttv-boxart/Portal%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Tuesday 26th January 2021 22:01","https://sullygnome.com/channel/ranboolive/stream/41469387934","178","83723","123176","15537","5649","236082","78013","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Tuesday 26th January 2021 04:43","https://sullygnome.com/channel/ranboolive/stream/41461580910","151","48173","59252","7569","2752","101439","34037","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Sunday 24th January 2021 21:40","https://sullygnome.com/channel/ranboolive/stream/41443165598","215","62129","82933","15880","4234","195995","52265","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Saturday 23rd January 2021 22:15","https://sullygnome.com/channel/ranboolive/stream/41430492686","224","57073","74228","13951","3986","228367","57751","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Friday 22nd January 2021 23:04","https://sullygnome.com/channel/ranboolive/stream/41416704782","160","44769","54239","8581","3120","126812","46113","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Thursday 21st January 2021 21:25","https://sullygnome.com/channel/ranboolive/stream/41403099486","169","55595","99783","20166","6722","211660","70553","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Thursday 21st January 2021 04:02","https://sullygnome.com/channel/ranboolive/stream/41396273022","222","24990","27808","9031","2408","91741","21804","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Wednesday 20th January 2021 23:00","https://sullygnome.com/channel/ranboolive/stream/41391950638","74","77828","90859","5474","4379","86826","39003","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Tuesday 19th January 2021 22:20","https://sullygnome.com/channel/ranboolive/stream/41378946446","159","53043","81074","8858","3221","138111","50222","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Monday 18th January 2021 18:37","https://sullygnome.com/channel/ranboolive/stream/41364488318","367","48151","71206","19393","3102","292917","44872","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Sunday 17th January 2021 21:30","https://sullygnome.com/channel/ranboolive/stream/41353669438","329","51922","64534","14216","2584","240787","40573","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Saturday 16th January 2021 22:02","https://sullygnome.com/channel/ranboolive/stream/41340465982","312","56231","93224","16912","3221","256568","48870","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"19","Saturday 16th January 2021 02:32","https://sullygnome.com/channel/ranboolive/stream/41329784414","207","38107","43996","6871","1963","102252","29214","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Friday 15th January 2021 19:55","https://sullygnome.com/channel/ranboolive/stream/41324563870","49","70876","99019","4728","4728","98513","40952","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Thursday 14th January 2021 19:38","https://sullygnome.com/channel/ranboolive/stream/41312042014","321","39344","66124","14908","2710","274600","49927","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"22","Wednesday 13th January 2021 23:41","https://sullygnome.com/channel/ranboolive/stream/41302605054","288","50315","61805","14016","2803","183382","33826","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"23","Tuesday 12th January 2021 21:50","https://sullygnome.com/channel/ranboolive/stream/41289221710","219","36524","40296","8395","2238","145696","38852","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
