"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 21st December 2019 19:12","https://sullygnome.com/channel/jacksepticeye/stream/339004241","167","1473","1669","406","135","6261","2087","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Dark Souls III|Dark_Souls_III|https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls%20III-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Thursday 5th December 2019 20:03","https://sullygnome.com/channel/jacksepticeye/stream/266268129","131","2276","2704","2304","1024","10780","4447","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Thursday 28th November 2019 21:37","https://sullygnome.com/channel/jacksepticeye/stream/235957793","127","1681","2207","638","283","7436","3076","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Tuesday 5th November 2019 19:17","https://sullygnome.com/channel/jacksepticeye/stream/36151615952","297","1677","2063","2107","421","25638","4869","Talk Shows & Podcasts|Gaming_Talk_Shows|https://static-cdn.jtvnw.net/ttv-boxart/Talk%20Shows%20&%20Podcasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Thursday 26th September 2019 23:37","https://sullygnome.com/channel/jacksepticeye/stream/35789771792","127","1329","1637","426","189","7405","2435","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Saturday 10th August 2019 22:27","https://sullygnome.com/channel/jacksepticeye/stream/35246297680","302","1593","2346","1823","347","13787","2626","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Overwatch|Overwatch|https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Tuesday 2nd July 2019 21:55","https://sullygnome.com/channel/jacksepticeye/stream/34757154032","184","1836","2248","841","258","8845","2441","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Friday 14th June 2019 20:46","https://sullygnome.com/channel/jacksepticeye/stream/34530964896","193","1516","2283","337","103","7642","2351","Yakuza 0|Ryū_ga_Gotoku_Zero|https://static-cdn.jtvnw.net/ttv-boxart/Yakuza%200-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Monday 20th May 2019 18:15","https://sullygnome.com/channel/jacksepticeye/stream/34197630800","180","1463","1562","662","203","11854","3278","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Tuesday 7th May 2019 18:30","https://sullygnome.com/channel/jacksepticeye/stream/34025455296","135","1705","1787","449","179","4855","1654","Days Gone|Days_Gone|https://static-cdn.jtvnw.net/ttv-boxart/Days%20Gone-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
