"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"101","Saturday 6th July 2019 15:45","https://sullygnome.com/channel/pokimane/stream/34802085264","255","8053","9717","1708","379","124790","27731","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"102","Thursday 4th July 2019 17:00","https://sullygnome.com/channel/pokimane/stream/34778657616","180","26438","37332","2466","758","532186","143602","Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"103","Tuesday 2nd July 2019 16:15","https://sullygnome.com/channel/pokimane/stream/34753070608","300","7154","8340","1402","267","118826","19890","Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"104","Sunday 30th June 2019 16:03","https://sullygnome.com/channel/pokimane/stream/34728610560","341","14053","20200","3868","672","186600","28305","Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"105","Saturday 29th June 2019 16:52","https://sullygnome.com/channel/pokimane/stream/34716525504","277","8913","11256","2076","437","111509","21786","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"106","Friday 28th June 2019 16:54","https://sullygnome.com/channel/pokimane/stream/34703566272","230","6508","7317","839","209","73392","16554","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"107","Wednesday 26th June 2019 15:48","https://sullygnome.com/channel/pokimane/stream/34678344544","401","8424","11554","2625","388","160544","23784","Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Beat Saber|Beat_Saber|https://static-cdn.jtvnw.net/ttv-boxart/Beat%20Saber-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"108","Tuesday 25th June 2019 15:45","https://sullygnome.com/channel/pokimane/stream/34665903904","165","7682","9139","1111","370","66140","22046","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"109","Monday 24th June 2019 15:20","https://sullygnome.com/channel/pokimane/stream/34653254528","444","9948","16542","3973","529","196320","25017","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Twitch Sings|kzero|https://static-cdn.jtvnw.net/ttv-boxart/Twitch%20Sings-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"110","Sunday 23rd June 2019 15:30","https://sullygnome.com/channel/pokimane/stream/34641062640","450","8550","14358","2465","318","185801","23974","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"111","Sunday 16th June 2019 23:21","https://sullygnome.com/channel/pokimane/stream/34559311936","203","2419","2821","568","162","37699","10771","Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"112","Saturday 15th June 2019 23:04","https://sullygnome.com/channel/pokimane/stream/34546449200","220","2799","3817","819","204","51051","11457","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"113","Friday 14th June 2019 20:00","https://sullygnome.com/channel/pokimane/stream/34530173344","465","8221","12342","3620","452","191109","23888","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Outlast|Outlast|https://static-cdn.jtvnw.net/ttv-boxart/Outlast-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"114","Wednesday 12th June 2019 19:33","https://sullygnome.com/channel/pokimane/stream/34505557056","281","7462","8961","1064","224","114574","22178","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"115","Tuesday 11th June 2019 22:00","https://sullygnome.com/channel/pokimane/stream/34494476544","165","7769","9181","1317","439","82252","23353","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"116","Monday 10th June 2019 01:57","https://sullygnome.com/channel/pokimane/stream/34472802160","182","7648","8540","1595","490","64415","19820","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"117","Friday 7th June 2019 21:38","https://sullygnome.com/channel/pokimane/stream/34443747904","156","8587","11649","545","198","164695","55982","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Getting Over It with Bennett Foddy|Getting_Over_It|https://static-cdn.jtvnw.net/ttv-boxart/Getting%20Over%20It%20with%20Bennett%20Foddy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Brawl Stars|Brawl_Stars|https://static-cdn.jtvnw.net/ttv-boxart/Brawl%20Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"118","Thursday 6th June 2019 19:30","https://sullygnome.com/channel/pokimane/stream/34429593824","345","6572","9019","1405","234","133577","20606","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Getting Over It with Bennett Foddy|Getting_Over_It|https://static-cdn.jtvnw.net/ttv-boxart/Getting%20Over%20It%20with%20Bennett%20Foddy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
