"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 31st December 2019 20:31","https://sullygnome.com/channel/pokimane/stream/36543804112","313","12632","14554","5556","1058","198757","35306","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Sunday 29th December 2019 19:24","https://sullygnome.com/channel/pokimane/stream/36525624704","380","14829","17440","7857","1208","264046","38390","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Friday 27th December 2019 20:41","https://sullygnome.com/channel/pokimane/stream/36509320800","289","14276","17738","6216","1243","177731","32281","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Wednesday 25th December 2019 19:55","https://sullygnome.com/channel/pokimane/stream/36493445840","184","18110","24309","3760","1156","149653","42301","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Tuesday 24th December 2019 22:13","https://sullygnome.com/channel/pokimane/stream/36488126896","211","14192","17130","3514","1004","128890","36825","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Friday 20th December 2019 16:56","https://sullygnome.com/channel/pokimane/stream/36456968400","183","9507","11843","1894","582","84136","25888","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Wednesday 18th December 2019 18:57","https://sullygnome.com/channel/pokimane/stream/36444032512","272","12068","14804","3577","753","130071","27383","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Saturday 14th December 2019 18:26","https://sullygnome.com/channel/pokimane/stream/36416196208","168","11677","15327","2005","668","108908","36302","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Wednesday 11th December 2019 20:58","https://sullygnome.com/channel/pokimane/stream/36396797936","271","10870","13557","2340","520","127697","25226","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Monday 9th December 2019 19:45","https://sullygnome.com/channel/pokimane/stream/36383619472","270","12389","15920","2641","556","142567","28263","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
