"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"101","Wednesday 12th February 2020 21:52","https://sullygnome.com/channel/wilbursoot/stream/637579777","67","5626","6766","921","736","8135","5082","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"102","Tuesday 11th February 2020 20:58","https://sullygnome.com/channel/wilbursoot/stream/632026081","106","4416","5420","2174","1087","15351","5441","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"103","Sunday 9th February 2020 19:31","https://sullygnome.com/channel/wilbursoot/stream/621068753","239","4097","5215","2738","684","21535","5121","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"104","Monday 3rd February 2020 21:47","https://sullygnome.com/channel/wilbursoot/stream/588255601","87","4322","5472","906","604","6500","3829","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"105","Monday 27th January 2020 22:29","https://sullygnome.com/channel/wilbursoot/stream/548794241","105","6103","7266","1526","872","10818","4846","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"106","Sunday 26th January 2020 21:00","https://sullygnome.com/channel/wilbursoot/stream/543316545","0","4256","4256","0","0","1549","0","DayZ|DayZ|https://static-cdn.jtvnw.net/ttv-boxart/DayZ-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"107","Wednesday 15th January 2020 21:49","https://sullygnome.com/channel/wilbursoot/stream/478962513","85","3636","3992","669","446","4369","2058","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"108","Tuesday 14th January 2020 20:55","https://sullygnome.com/channel/wilbursoot/stream/473390257","94","3712","4539","933","533","7465","3287","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"109","Wednesday 8th January 2020 21:12","https://sullygnome.com/channel/wilbursoot/stream/438074753","92","5682","6341","330","188","6245","2758","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
