"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"89","Thursday 16th April 2020 16:49","https://sullygnome.com/channel/wilbursoot/stream/37576078208","115","5695","6160","1728","864","15539","6148","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Unlisted on Twitch|Unlisted_On_Twitch|https://static-cdn.jtvnw.net/ttv-boxart/404_boxart.png?imenable=1&impolicy=user-profile-picture&imwidth=100|GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"90","Saturday 11th April 2020 18:54","https://sullygnome.com/channel/wilbursoot/stream/37487684816","66","3936","4718","493","394","7255","3739","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"91","Tuesday 7th April 2020 19:48","https://sullygnome.com/channel/wilbursoot/stream/1120356737","131","6057","6413","1569","784","18870","6836","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"92","Wednesday 1st April 2020 20:15","https://sullygnome.com/channel/wilbursoot/stream/1044991889","135","4593","5083","1938","775","16606","6642","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"93","Friday 27th March 2020 20:38","https://sullygnome.com/channel/wilbursoot/stream/985429617","111","5153","5720","278","139","8588","4294","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"94","Saturday 14th March 2020 20:00","https://sullygnome.com/channel/wilbursoot/stream/842082289","135","4921","5734","1386","554","12789","5115","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"95","Monday 9th March 2020 22:20","https://sullygnome.com/channel/wilbursoot/stream/806963089","69","4749","5646","615","492","6606","3964","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"96","Thursday 5th March 2020 20:42","https://sullygnome.com/channel/wilbursoot/stream/778312833","62","2819","3047","477","381","5434","2931","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"97","Monday 2nd March 2020 22:26","https://sullygnome.com/channel/wilbursoot/stream/760598193","33","3189","3238","205","410","0","0","Nidhogg|Nidhogg|https://static-cdn.jtvnw.net/ttv-boxart/Nidhogg-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"98","Tuesday 25th February 2020 21:57","https://sullygnome.com/channel/wilbursoot/stream/719141553","92","3923","4424","177","101","5963","2741","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"99","Monday 17th February 2020 19:30","https://sullygnome.com/channel/wilbursoot/stream/665920641","134","4804","5267","1168","519","12314","4713","Stardew Valley|Stardew_Valley|https://static-cdn.jtvnw.net/ttv-boxart/Stardew%20Valley-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"100","Thursday 13th February 2020 20:37","https://sullygnome.com/channel/wilbursoot/stream/642436049","142","2938","3248","844","337","9299","3262","Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
