"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"163","Wednesday 25th March 2020 23:05","https://sullygnome.com/channel/philza/stream/963336913","204","944","1264","190","54","6542","1722","Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"164","Wednesday 25th March 2020 17:11","https://sullygnome.com/channel/philza/stream/958545521","333","3082","3610","1080","187","20982","3406","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"165","Monday 23rd March 2020 16:56","https://sullygnome.com/channel/philza/stream/934402353","408","3042","3646","1427","203","25678","3539","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"166","Saturday 21st March 2020 17:12","https://sullygnome.com/channel/philza/stream/911055233","362","2990","3384","1120","179","21936","3274","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"167","Friday 20th March 2020 16:56","https://sullygnome.com/channel/philza/stream/898555233","438","2754","3207","1297","172","24090","3028","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"168","Thursday 19th March 2020 16:38","https://sullygnome.com/channel/philza/stream/887575153","381","2886","3461","1358","208","20350","3031","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"169","Saturday 29th February 2020 18:52","https://sullygnome.com/channel/philza/stream/744904129","352","2266","2713","570","95","15369","2408","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"170","Friday 28th February 2020 18:38","https://sullygnome.com/channel/philza/stream/737011489","456","2188","2483","632","81","17078","2112","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"171","Wednesday 26th February 2020 18:59","https://sullygnome.com/channel/philza/stream/724264065","375","2185","2652","565","90","14702","2236","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"172","Monday 24th February 2020 18:58","https://sullygnome.com/channel/philza/stream/711101233","331","2115","2460","658","114","14460","2423","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
