"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 30th December 2019 18:54","https://sullygnome.com/channel/philza/stream/385054785","350","2459","2794","872","145","18305","3050","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Friday 27th December 2019 18:59","https://sullygnome.com/channel/philza/stream/368139393","480","1563","2482","746","93","16291","2010","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Wednesday 25th December 2019 18:57","https://sullygnome.com/channel/philza/stream/357930753","347","2406","2649","894","155","16576","2704","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Monday 23rd December 2019 18:59","https://sullygnome.com/channel/philza/stream/349167841","300","2631","3075","739","147","16851","3246","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Friday 20th December 2019 18:58","https://sullygnome.com/channel/philza/stream/333555361","316","2224","2580","563","107","13948","2656","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Wednesday 18th December 2019 18:47","https://sullygnome.com/channel/philza/stream/324617969","477","2091","2594","1025","128","24080","3010","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Monday 16th December 2019 18:59","https://sullygnome.com/channel/philza/stream/316263185","270","2439","2699","555","123","13315","2762","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Friday 13th December 2019 18:59","https://sullygnome.com/channel/philza/stream/301520833","315","2367","2593","571","108","16200","2907","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Wednesday 11th December 2019 19:00","https://sullygnome.com/channel/philza/stream/293057105","374","3175","4745","1000","160","65149","10319","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Monday 9th December 2019 19:15","https://sullygnome.com/channel/philza/stream/284728753","285","2086","2396","493","98","13794","2533","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Sunday 8th December 2019 22:17","https://sullygnome.com/channel/philza/stream/281671521","252","2112","2368","604","142","10747","2322","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Friday 6th December 2019 18:59","https://sullygnome.com/channel/philza/stream/270214801","300","2721","5042","524","104","75488","14851","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Wednesday 4th December 2019 18:59","https://sullygnome.com/channel/philza/stream/261631201","315","2476","4042","430","81","59881","11405","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Tuesday 3rd December 2019 20:03","https://sullygnome.com/channel/philza/stream/257948833","266","396","505","87","19","5501","1124","Halo: The Master Chief Collection|Halo_The_Master_Chief_Collection|https://static-cdn.jtvnw.net/ttv-boxart/./Halo:%20The%20Master%20Chief%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Monday 2nd December 2019 19:00","https://sullygnome.com/channel/philza/stream/253452929","374","2021","2437","667","106","19785","3101","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Friday 29th November 2019 17:50","https://sullygnome.com/channel/philza/stream/238715457","429","2462","3417","1052","145","32680","4379","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Wednesday 27th November 2019 18:59","https://sullygnome.com/channel/philza/stream/231025729","300","2636","3180","517","103","33557","6550","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Monday 25th November 2019 18:55","https://sullygnome.com/channel/philza/stream/222399697","499","2240","2730","1477","173","23285","2631","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"19","Friday 22nd November 2019 19:00","https://sullygnome.com/channel/philza/stream/207129553","389","4803","24611","742","114","271817","41818","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Wednesday 20th November 2019 18:58","https://sullygnome.com/channel/philza/stream/198345185","301","1622","1944","261","52","9950","1990","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Tuesday 19th November 2019 00:24","https://sullygnome.com/channel/philza/stream/190942193","95","1234","1474","107","61","3881","1894","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"22","Monday 18th November 2019 18:58","https://sullygnome.com/channel/philza/stream/189488065","301","1687","2042","385","73","11266","2365","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"23","Sunday 17th November 2019 19:51","https://sullygnome.com/channel/philza/stream/185482417","173","1275","1529","254","84","7949","2649","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"24","Saturday 16th November 2019 20:55","https://sullygnome.com/channel/philza/stream/180084065","214","1078","1307","226","60","7739","1871","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"25","Friday 15th November 2019 18:57","https://sullygnome.com/channel/philza/stream/173393057","257","1668","2008","350","77","10102","2244","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"26","Wednesday 13th November 2019 18:59","https://sullygnome.com/channel/philza/stream/164163281","345","1611","2445","462","80","13132","2233","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"27","Monday 11th November 2019 18:59","https://sullygnome.com/channel/philza/stream/155714513","255","2570","3187","372","87","11612","2595","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"28","Friday 8th November 2019 18:58","https://sullygnome.com/channel/philza/stream/141615633","271","1779","1980","354","78","10620","2142","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
